hanja,reading,salted
一,일,_一
丁,정,_丁
丂,교,_丂
七,칠,_七
丄,상,_丄
丅,하,_丅
丆,면,_丆
万,만,_万
丈,장,_丈
三,삼,_三
上,상,_上
下,하,_下
丌,기,_丌
不,부,_不
与,여,_与
丏,면,_丏
丐,개,_丐
丑,축,_丑
丒,축,_丒
专,전,_专
且,차,_且
丕,비,_丕
世,세,_世
丗,세,_丗
丘,구,_丘
丙,병,_丙
业,업,_业
丛,총,_丛
东,동,_东
丝,사,_丝
丞,승,_丞
丟,주,_丟
丠,구,_丠
両,량,_両
丢,주,_丢
丣,유,_丣
两,량,_两
严,엄,_严
並,병,_並
丧,상,_丧
丨,곤,_丨
丩,구,_丩
个,개,_个
丫,아,_丫
丬,장,_丬
中,중,_中
丮,극,_丮
丯,개,_丯
丰,봉,_丰
丱,관,_丱
串,곶,_串
丳,찬,_丳
临,임,_临
丵,착,_丵
丶,주,_丶
丷,하,_丷
丸,환,_丸
丹,단,_丹
为,위,_为
主,주,_主
丼,정,_丼
丽,려,_丽
举,거,_举
丿,별,_丿
乀,불,_乀
乁,이,_乁
乂,예,_乂
乃,내,_乃
乄,오,_乄
久,구,_久
乆,구,_乆
乇,탁,_乇
么,요,_么
义,의,_义
乊,호,_乊
之,지,_之
乌,오,_乌
乍,사,_乍
乎,호,_乎
乏,핍,_乏
乐,악,_乐
乑,음,_乑
乒,병,_乒
乓,퐁,_乓
乔,교,_乔
乕,호,_乕
乖,괴,_乖
乗,승,_乗
乘,승,_乘
乙,을,_乙
乚,은,_乚
乛,야,_乛
乜,먀,_乜
九,구,_九
乞,걸,_乞
也,야,_也
习,습,_习
乡,향,_乡
乢,개,_乢
乣,규,_乣
乤,할,_乤
乥,홀,_乥
书,서,_书
乧,둘,_乧
乨,시,_乨
乩,계,_乩
乪,낭,_乪
乫,갈,_乫
乬,걸,_乬
乭,돌,_乭
乮,묠,_乮
乯,올,_乯
买,매,_买
乱,란,_乱
乲,찰,_乲
乳,유,_乳
乴,설,_乴
乵,염,_乵
乶,볼,_乶
乷,살,_乷
乸,나,_乸
乹,건,_乹
乺,솔,_乺
乻,얼,_乻
乼,줄,_乼
乽,잘,_乽
乾,건,_乾
乿,치,_乿
亀,구,_亀
亁,건,_亁
亂,란,_亂
亃,린,_亃
亄,의,_亄
亅,궐,_亅
了,료,_了
亇,마,_亇
予,여,_予
争,쟁,_争
亊,사,_亊
事,사,_事
二,이,_二
亍,촉,_亍
于,우,_于
亏,우,_亏
亐,울,_亐
云,운,_云
互,호,_互
亓,기,_亓
五,오,_五
井,정,_井
亖,사,_亖
亗,세,_亗
亘,긍,_亘
亙,긍,_亙
亚,아,_亚
些,사,_些
亜,아,_亜
亝,제,_亝
亞,아,_亞
亟,극,_亟
亠,두,_亠
亡,망,_亡
亢,항,_亢
亣,대,_亣
交,교,_交
亥,해,_亥
亦,역,_亦
产,산,_产
亨,형,_亨
亩,무,_亩
亪,란,_亪
享,향,_享
京,경,_京
亭,정,_亭
亮,량,_亮
亯,향,_亯
亰,경,_亰
亱,야,_亱
亲,친,_亲
亳,박,_亳
亴,우,_亴
亵,설,_亵
亶,단,_亶
亷,렴,_亷
亸,타,_亸
亹,미,_亹
人,인,_人
亻,인,_亻
亼,집,_亼
亽,라,_亽
亾,망,_亾
亿,억,_亿
什,십,_什
仁,인,_仁
仂,륵,_仂
仃,정,_仃
仄,측,_仄
仅,부,_仅
仆,부,_仆
仇,구,_仇
仈,팔,_仈
仉,장,_仉
今,금,_今
介,개,_介
仌,빙,_仌
仍,잉,_仍
从,종,_从
仏,불,_仏
仐,산,_仐
仑,륜,_仑
仒,어,_仒
仓,창,_仓
仔,자,_仔
仕,사,_仕
他,타,_他
仗,장,_仗
付,부,_付
仙,선,_仙
仚,헌,_仚
仛,탁,_仛
仜,홍,_仜
仝,동,_仝
仞,인,_仞
仟,천,_仟
仠,한,_仠
仡,흘,_仡
仢,작,_仢
代,대,_代
令,령,_令
以,이,_以
仦,초,_仦
仧,장,_仧
仨,삼,_仨
仩,상,_仩
仪,의,_仪
仫,무,_仫
们,문,_们
仭,인,_仭
仮,가,_仮
仯,초,_仯
仰,앙,_仰
仱,검,_仱
仲,중,_仲
仳,비,_仳
仴,월,_仴
仵,오,_仵
件,건,_件
价,개,_价
仸,요,_仸
仹,봉,_仹
仺,창,_仺
任,임,_任
仼,왕,_仼
份,빈,_份
仾,저,_仾
仿,방,_仿
伀,종,_伀
企,기,_企
伂,패,_伂
伃,여,_伃
伄,조,_伄
伅,돈,_伅
伆,문,_伆
伇,역,_伇
伈,심,_伈
伉,항,_伉
伊,이,_伊
伋,급,_伋
伌,애,_伌
伍,오,_伍
伎,기,_伎
伏,복,_伏
伐,벌,_伐
休,휴,_休
伒,근,_伒
伓,배,_伓
伔,침,_伔
伕,부,_伕
伖,노,_伖
众,중,_众
优,우,_优
伙,화,_伙
会,회,_会
伛,구,_伛
伜,쉬,_伜
伝,전,_伝
伞,산,_伞
伟,위,_伟
传,전,_传
伡,거,_伡
伢,아,_伢
伣,현,_伣
伤,상,_伤
伥,창,_伥
伦,륜,_伦
伧,창,_伧
伨,순,_伨
伩,신,_伩
伪,위,_伪
伫,저,_伫
伬,택,_伬
伭,현,_伭
伮,노,_伮
伯,백,_伯
估,고,_估
伱,니,_伱
伲,탁,_伲
伳,설,_伳
伴,반,_伴
伵,혁,_伵
伶,령,_伶
伷,주,_伷
伸,신,_伸
伹,저,_伹
伺,사,_伺
伻,팽,_伻
似,사,_似
伽,가,_伽
伾,비,_伾
伿,이,_伿
佀,사,_佀
佁,이,_佁
佂,정,_佂
佃,전,_佃
佄,감,_佄
佅,매,_佅
但,단,_但
佇,저,_佇
佈,포,_佈
佉,구,_佉
佊,피,_佊
佋,소,_佋
佌,차,_佌
位,위,_位
低,저,_低
住,주,_住
佐,좌,_佐
佑,우,_佑
佒,앙,_佒
体,분,_体
佔,점,_佔
何,하,_何
佖,필,_佖
佗,타,_佗
佘,사,_佘
余,여,_余
佚,일,_佚
佛,불,_佛
作,작,_作
佝,구,_佝
佞,녕,_佞
佟,퉁,_佟
你,니,_你
佡,헌,_佡
佢,거,_佢
佣,용,_佣
佤,와,_佤
佥,첨,_佥
佦,석,_佦
佧,카,_佧
佨,포,_佨
佩,패,_佩
佪,회,_佪
佫,각,_佫
