salted,reading,word
_一_事_不_再_理,일사부재리,一事不再理
_一_刀_兩_斷_式,일도양단식,一刀兩斷式
_一_切_唯_心_造,일체유심조,一切唯心造
_一_刻_如_三_秋,일각여삼추,一刻如三秋
_一_問_一_答_式,일문일답식,一問一答式
_一_夫_一_妻_制,일부일처제,一夫一妻制
_一_日_生_活_圈,일일생활권,一日生活圈
_一_百_五_十_萬,일백오십만,一百五十萬
_一_言_以_蔽_之,일언이폐지,一言以蔽之
_一_酸_化_炭_素,일산화탄소,一酸化炭素
_七_百_五_十_三,칠백오십삼,七百五十三
_三_十_八_度_線,삼십팔도선,三十八度線
_三_千_里_江_山,삼천리강산,三千里江山
_三_枝_九_葉_草,삼지구엽초,三枝九葉草
_三_軍_可_奪_帥,삼군가탈수,三軍可奪帥
_上_濁_下_不_淨,상탁하부정,上濁下不淨
_不_動_産_業_界,부동산업계,不動産業界
_不_動_産_業_者,부동산업자,不動産業者
_不_可_思_議_論,불가사의론,不可思議論
_不_可_抗_力_的,불가항력적,不可抗力的
_不_名_譽_除_隊,불명예제대,不名譽除隊
_不_條_理_劇_風,부조리극풍,不條理劇風
_不_知_不_識_間,부지불식간,不知不識間
_不_知_何_歲_月,부지하세월,不知何歲月
_世_代_交_替_論,세대교체론,世代交替論
_中_小_企_業_家,중소기업가,中小企業家
_中_小_企_業_界,중소기업계,中小企業界
_中_小_企_業_者,중소기업자,中小企業者
_中_小_企_業_館,중소기업관,中小企業館
_中_小_企_業_體,중소기업체,中小企業體
_中_心_主_義_的,중심주의적,中心主義的
_中_繼_放_送_班,중계방송반,中繼放送班
_中_繼_放_送_社,중계방송사,中繼放送社
_中_選_擧_區_制,중선거구제,中選擧區制
_中_間_報_告_日,중간보고일,中間報告日
_丹_田_呼_吸_法,단전호흡법,丹田呼吸法
_主_體_思_想_化,주체사상화,主體思想化
_主_體_思_想_派,주체사상파,主體思想派
_事_務_總_長_職,사무총장직,事務總長職
_事_大_主_義_的,사대주의적,事大主義的
_事_大_主_義_者,사대주의자,事大主義者
_二_十_四_節_氣,이십사절기,二十四節氣
_二_律_背_反_性,이율배반성,二律背反性
_二_律_背_反_的,이율배반적,二律背反的
_二_酸_化_炭_素,이산화탄소,二酸化炭素
_二_酸_化_窒_素,이산화질소,二酸化窒素
_二_黃_化_炭_素,이황화탄소,二黃化炭素
_五_十_步_百_步,오십보백보,五十步百步
_五_家_作_統_法,오가작통법,五家作統法
_交_通_事_故_率,교통사고율,交通事故率
_人_事_移_動_說,인사이동설,人事移動說
_人_工_呼_吸_法,인공호흡법,人工呼吸法
_人_文_主_義_的,인문주의적,人文主義的
_人_文_主_義_者,인문주의자,人文主義者
_人_本_主_義_的,인본주의적,人本主義的
_人_種_主_義_者,인종주의자,人種主義者
_人_身_賣_買_團,인신매매단,人身賣買團
_人_身_賣_買_犯,인신매매범,人身賣買犯
_人_道_主_義_的,인도주의적,人道主義的
_人_間_文_化_財,인간문화재,人間文化財
_仁_義_禮_智_信,인의예지신,仁義禮智信
_以_心_傳_心_的,이심전심적,以心傳心的
_仰_不_愧_於_天,앙불괴어천,仰不愧於天
_位_階_秩_序_的,위계질서적,位階秩序的
_便_宜_主_義_的,편의주의적,便宜主義的
_便_宜_置_籍_船,편의치적선,便宜置籍船
_保_守_主_義_者,보수주의자,保守主義者
_修_學_旅_行_地,수학여행지,修學旅行地
_修_正_主_義_者,수정주의자,修正主義者
_俸_給_生_活_者,봉급생활자,俸給生活者
_個_人_主_義_的,개인주의적,個人主義的
_偏_向_主_義_者,편향주의자,偏向主義者
_僧_敲_月_下_門,승고월하문,僧敲月下門
_入_學_試_驗_場,입학시험장,入學試驗場
_全_體_主_義_化,전체주의화,全體主義化
_全_體_主_義_的,전체주의적,全體主義的
_兩_者_擇_一_的,양자택일적,兩者擇一的
_兩_者_擇_一_論,양자택일론,兩者擇一論
_兩_雄_不_俱_立,양웅불구립,兩雄不俱立
_公_衆_沐_浴_湯,공중목욕탕,公衆沐浴湯
_公_衆_道_德_心,공중도덕심,公衆道德心
_共_産_主_義_者,공산주의자,共産主義者
_冒_險_主_義_者,모험주의자,冒險主義者
_冶_家_無_食_刀,야가무식도,冶家無食刀
_分_派_主_義_者,분파주의자,分派主義者
_刑_事_係_長_室,형사계장실,刑事係長室
_利_己_主_義_的,이기주의적,利己主義的
_利_己_主_義_者,이기주의자,利己主義者
_化_學_調_味_料,화학조미료,化學調味料
_十_全_大_補_丸,십전대보환,十全大補丸
_十_全_大_補_湯,십전대보탕,十全大補湯
_千_九_百_九_十,천구백구십,千九百九十
_千_九_百_八_十,천구백팔십,千九百八十
_千_九_百_六_十,천구백육십,千九百六十
_千_百_二_十_六,천백이십육,千百二十六
_千_篇_一_律_的,천편일률적,千篇一律的
_半_植_民_地_的,반식민지적,半植民地的
_南_大_門_入_納,남대문입납,南大門入納
_南_大_門_市_場,남대문시장,南大門市場
_原_始_主_義_者,원시주의자,原始主義者
_反_精_神_病_者,반정신병자,反精神病者
_反_耐_性_主_義,반내성주의,反耐性主義
_反_辨_證_法_的,반변증법적,反辨證法的
_古_代_史_學_界,고대사학계,古代史學界
_古_典_主_義_的,고전주의적,古典主義的
_古_典_主_義_者,고전주의자,古典主義者
_古_生_物_學_的,고생물학적,古生物學的
_古_生_物_學_者,고생물학자,古生物學者
_合_成_樹_脂_製,합성수지제,合成樹脂製
_合_理_主_義_的,합리주의적,合理主義的
_同_性_戀_愛_者,동성연애자,同性戀愛者
_君_師_父_一_體,군사부일체,君師父一體
_唯_美_主_義_的,유미주의적,唯美主義的
_唯_美_主_義_者,유미주의자,唯美主義者
_商_品_化_權_者,상품화권자,商品化權者
_商_業_主_義_化,상업주의화,商業主義化
_啓_蒙_主_義_的,계몽주의적,啓蒙主義的
_啓_蒙_主_義_者,계몽주의자,啓蒙主義者
_啓_蒙_思_想_家,계몽사상가,啓蒙思想家
_善_行_無_鐵_迹,선행무철적,善行無鐵迹
_單_刀_直_入_的,단도직입적,單刀直入的
_嚴_肅_主_義_的,엄숙주의적,嚴肅主義的
_四_十_而_不_惑,사십이불혹,四十而不惑
_回_甲_宴_會_場,회갑연회장,回甲宴會場
_國_利_民_福_的,국리민복적,國利民福的
_國_務_總_理_室,국무총리실,國務總理室
_國_務_總_理_賞,국무총리상,國務總理賞
_國_家_主_席_職,국가주석직,國家主席職
_國_會_議_員_職,국회의원직,國會議員職
_國_民_學_校_生,국민학교생,國民學校生
_國_民_學_校_長,국민학교장,國民學校長
_國_粹_主_義_的,국수주의적,國粹主義的
_國_粹_主_義_者,국수주의자,國粹主義者
_國_際_主_義_的,국제주의적,國際主義的
_國_際_會_議_場,국제회의장,國際會議場
_國_際_會_議_室,국제회의실,國際會議室
_圖_書_館_學_科,도서관학과,圖書館學科
_圖_書_館_長_室,도서관장실,圖書館長室
_基_幹_産_業_體,기간산업체,基幹産業體
_士_官_候_補_生,사관후보생,士官候補生
_多_元_主_義_的,다원주의적,多元主義的
_多_多_益_善_組,다다익선조,多多益善組
_大_家_父_長_的,대가부장적,大家父長的
_大_花_魚_牙_錦,대화어아금,大花魚牙錦
_大_衆_化_主_義,대중화주의,大衆化主義
_大_衆_文_化_化,대중문화화,大衆文化化
_大_衆_文_化_的,대중문화적,大衆文化的
_大_衆_文_化_論,대중문화론,大衆文化論
_大_衆_沐_浴_湯,대중목욕탕,大衆沐浴湯
_大_衆_音_樂_人,대중음악인,大衆音樂人
_大_衆_音_樂_家,대중음악가,大衆音樂家
_大_選_擧_區_制,대선거구제,大選擧區制
_天_下_之_大_本,천하지대본,天下之大本
_天_人_合_一_說,천인합일설,天人合一說
_天_命_民_本_論,천명민본론,天命民本論
_天_日_製_鹽_業,천일제염업,天日製鹽業
_天_然_記_念_物,천연기념물,天然記念物
_奢_者_心_常_貧,사자심상빈,奢者心常貧
_女_權_主_義_者,여권주의자,女權主義者
_奴_隸_制_論_者,노예제론자,奴隸制論者
_如_狗_食_藥_果,여구식약과,如狗食藥果
_安_全_標_識_板,안전표지판,安全標識板
_完_全_主_義_者,완전주의자,完全主義者
_官_僚_主_義_的,관료주의적,官僚主義的
_家_父_長_制_的,가부장제적,家父長制的
_富_國_强_兵_策,부국강병책,富國强兵策
_實_存_主_義_的,실존주의적,實存主義的
_實_存_主_義_者,실존주의자,實存主義者
_實_證_主_義_的,실증주의적,實證主義的
_實_證_主_義_者,실증주의자,實證主義者
_寫_字_此_是_學,사자차시학,寫字此是學
_寫_實_主_義_的,사실주의적,寫實主義的
_寫_實_主_義_者,사실주의자,寫實主義者
_封_建_制_論_者,봉건제론자,封建制論者
_射_程_距_離_圈,사정거리권,射程距離圈
_小_花_魚_牙_錦,소화어아금,小花魚牙錦
_小_英_雄_主_義,소영웅주의,小英雄主義
_小_選_擧_區_制,소선거구제,小選擧區制
_小_食_主_義_者,소식주의자,小食主義者
_巡_廻_公_演_團,순회공연단,巡廻公演團
_帝_國_主_義_化,제국주의화,帝國主義化
_帝_國_主_義_的,제국주의적,帝國主義的
_帝_國_主_義_者,제국주의자,帝國主義者
_帝_國_主_義_論,제국주의론,帝國主義論
_平_和_主_義_者,평화주의자,平和主義者
_平_地_綾_文_綾,평지능문능,平地綾文綾
_平_等_主_義_的,평등주의적,平等主義的
_幾_何_級_數_的,기하급수적,幾何級數的
_廢_家_電_製_品,폐가전제품,廢家電製品
_廢_生_活_用_品,폐생활용품,廢生活用品
_延_建_築_面_積,연건축면적,延建築面積
_建_築_史_學_者,건축사학자,建築史學者
_强_羌_水_越_來,강강수월래,强羌水越來
_形_式_主_義_的,형식주의적,形式主義的
_形_而_上_學_的,형이상학적,形而上學的
_復_權_主_義_者,복권주의자,復權主義者
_急_進_主_義_者,급진주의자,急進主義者
_意_思_不_到_處,의사부도처,意思不到處
_愛_國_主_義_者,애국주의자,愛國主義者
_應_用_科_學_者,응용과학자,應用科學者
_懷_疑_主_義_者,회의주의자,懷疑主義者
_成_形_外_科_學,성형외과학,成形外科學
_成_形_外_科_醫,성형외과의,成形外科醫
_戴_天_之_怨_讐,대천지원수,戴天之怨讐
_才_學_識_三_長,재학식삼장,才學識三長
_折_衷_主_義_的,절충주의적,折衷主義的
_拇_趾_外_反_症,무지외반증,拇趾外反症
_捕_虜_收_容_所,포로수용소,捕虜收容所
_掃_地_黃_金_出,소지황금출,掃地黃金出
_敎_條_主_義_的,교조주의적,敎條主義的
_敎_條_主_義_者,교조주의자,敎條主義者
_文_化_生_活_費,문화생활비,文化生活費
_新_保_守_主_義,신보수주의,新保守主義
_新_古_典_主_義,신고전주의,新古典主義
_新_啓_蒙_主_義,신계몽주의,新啓蒙主義
